Flume,Flow,Temperature,Treatment,HeS,HoS,DL,HD,DR
flume1,Natural,warm,Nw,0.010712587,0.274291744,0.146259706,0.137087261,0.431648702
flume2,Natural,warm,Nw,0.005901839,0.28799492,0.136437443,0.116257963,0.453407835
flume3,Natural,warm,Nw,0.008589419,0.278245315,0.129410219,0.097005246,0.4867498
flume4,Intermittent,warm,Iw,0.025626289,0.245402388,0.256201012,0.073666128,0.399104183
flume5,Intermittent,warm,Iw,0.018566903,0.258045437,0.274116855,0.07132273,0.377948075
flume6,Intermittent,warm,Iw,0.013805546,0.274847098,0.261245994,0.063854638,0.386246724
flume7,Stochastic,warm,Sw,0.035051334,0.301394463,0.237153211,0.097008232,0.32939276
flume8,Stochastic,warm,Sw,0.028278653,0.260867889,0.264868308,0.088506086,0.357479065
flume9,Stochastic,warm,Sw,0.028073812,0.293442398,0.245227898,0.078907077,0.354348815
flume10,Constant,warm,Cw,0.000826928,0.213944886,0.268353836,0.076966777,0.439907574
flume11,Constant,warm,Cw,0.016643187,0.269596888,0.213679205,0.065255795,0.434824925
flume12,Constant,warm,Cw,0.009790902,0.274176814,0.264603082,0.056558466,0.394870736
flume13,Natural,control,Nc,0.002671245,0.236546377,0.125808992,0.068501896,0.566471489
flume14,Natural,control,Nc,0.00264587,0.219815054,0.115920092,0.063065199,0.598553785
flume15,Natural,control,Nc,0.002908733,0.271490191,0.114331304,0.072525946,0.538743826
flume16,Intermittent,control,Ic,0.017456795,0.28636972,0.210842846,0.074999749,0.41033089
flume17,Intermittent,control,Ic,0.023101907,0.305852292,0.198372745,0.08601622,0.386656837
flume18,Intermittent,control,Ic,0.00905361,0.259844353,0.243740397,0.04057136,0.446790281
flume19,Stochastic,control,Sc,0.028010122,0.275490167,0.192258769,0.121917595,0.382323347
flume20,Stochastic,control,Sc,0.020942488,0.275144705,0.199160038,0.087333528,0.41741924
flume21,Stochastic,control,Sc,0.022279527,0.265222386,0.212140451,0.11315489,0.387202747
flume22,Constant,control,Cc,0.027174362,0.285302705,0.240182617,0.077618755,0.369721562
flume23,Constant,control,Cc,0.022744864,0.313277431,0.23508841,0.067059146,0.361830149
flume24,Constant,control,Cc,0.02024483,0.323603298,0.221116142,0.063743808,0.371291923