Date,Time,Group,Incubation
2022-06-10,,1,0
2022-06-11,,1,1
2022-06-12,,1,2
2022-06-13,,1,3
2022-06-14,,1,4
2022-06-15,1,1,5
2022-06-16,,2,6
2022-06-17,,2,7
2022-06-18,,2,8
2022-06-19,,2,9
2022-06-20,2,2,10
2022-06-21,,3,11
2022-06-22,,3,12
2022-06-23,,3,13
2022-06-24,3,3,14
2022-06-25,,4,15
2022-06-26,,4,16
2022-06-27,,4,17
2022-06-28,,4,18
2022-06-29,4,4,19
2022-06-30,,5,20
2022-07-01,,5,21
2022-07-02,,5,22
2022-07-03,,5,23
2022-07-04,5,5,24
2022-07-05,,6,25
2022-07-06,6,6,26
2022-07-07,,7,27
2022-07-08,7,7,28
2022-07-09,,8,29
2022-07-10,,8,30
2022-07-11,,8,31
2022-07-12,,8,32
2022-07-13,8,8,33
2022-07-14,,9,34
2022-07-15,,9,35
2022-07-16,,9,36
2022-07-17,,9,37
2022-07-18,9,9,38
2022-07-19,,10,39
2022-07-20,10,10,40
2022-07-21,,11,41
2022-07-22,11,11,42
2022-07-23,,12,43
2022-07-24,,12,44
2022-07-25,,12,45
2022-07-26,,12,46
2022-07-27,12,12,47
2022-07-28,,13,48
2022-07-29,,13,49
2022-07-30,,13,50
2022-07-31,,13,51
2022-08-01,,13,52
2022-08-02,,13,53
2022-08-03,13,13,54
2022-08-04,,14,55
2022-08-05,,14,56
2022-08-06,,14,57
2022-08-07,,14,58
2022-08-08,,14,59
2022-08-09,,14,60
2022-08-10,14,14,61
2022-08-11,,15,62
2022-08-12,,15,63
2022-08-13,,15,64
2022-08-14,,15,65
2022-08-15,,15,66
2022-08-16,15,15,67
2022-08-17,,16,68
2022-08-18,,16,69
2022-08-19,,16,70
2022-08-20,,16,71
2022-08-21,,16,72
2022-08-22,,16,73
2022-08-23,,16,74
2022-08-24,16,16,75
2022-08-25,,17,76
2022-08-26,,17,77
2022-08-27,,17,78
2022-08-28,,17,79
2022-08-29,,17,80
2022-08-30,,17,81
2022-08-31,17,17,82
2022-09-01,,18,83
2022-09-02,,18,84
2022-09-03,,18,85
2022-09-04,,18,86
2022-09-05,18,18,87
2022-09-06,,19,88
2022-09-07,19,19,89
2022-09-08,,20,90
2022-09-09,20,20,91
2022-09-10,,21,92
2022-09-11,,21,93
2022-09-12,,21,94
2022-09-13,,21,95
2022-09-14,21,21,96
2022-09-15,,22,97
2022-09-16,,22,98
2022-09-17,,22,99
2022-09-18,,22,100
2022-09-19,,22,101
2022-09-20,,22,102
2022-09-21,22,22,103